"Story","Title","Result","Date","Stability","Duration (s)"
"Login to SwagLabs dashboard","Login with valid credentials to <type> user","SUCCESS","2022-12-29T17:44:32.516698496Z[Etc/UTC]","0.0","10.21"
"Login to SwagLabs dashboard","Login with invalid credentials to <type> user","SUCCESS","2022-12-29T17:44:42.73921373Z[Etc/UTC]","0.0","7.91"
