"Story","Title","Result","Date","Stability","Duration (s)"
"Add article to cart","Add article Sauce Labs Fleece Jacket to cart","SUCCESS","2022-12-21T17:43:11.464643314Z[Etc/UTC]","0.0","37.2"
"Login to SwagLabs dashboard","Login with valid credentials to <type> user","SUCCESS","2022-12-21T17:43:48.900392838Z[Etc/UTC]","0.0","13.1"
"Login to SwagLabs dashboard","Login with valid credentials to locked out user","SUCCESS","2022-12-21T17:44:02.013527773Z[Etc/UTC]","0.0","1.91"
"Login to SwagLabs dashboard","Login with invalid credentials to <type> user","SUCCESS","2022-12-21T17:44:04.039243205Z[Etc/UTC]","0.0","7.54"
"Search by keyword","Searching for a term","SUCCESS","2022-12-21T17:44:11.592345593Z[Etc/UTC]","0.0","4.33"
