"Story","Title","Result","Date","Stability","Duration (s)"
"Login to SwagLabs dashboard","Login with valid credentials to <type> user","SUCCESS","2022-12-29T21:09:45.027569229Z[Etc/UTC]","0.0","10.19"
"Login to SwagLabs dashboard","Login with valid credentials to <type> user","SUCCESS","2022-12-29T21:09:45.027569229Z[Etc/UTC]","0.0","10.19"
"Login to SwagLabs dashboard","Login with valid credentials to <type> user","SUCCESS","2022-12-29T21:09:45.027569229Z[Etc/UTC]","0.0","10.19"
"Login to SwagLabs dashboard","Login with invalid credentials to <type> user","SUCCESS","2022-12-29T21:09:55.218666444Z[Etc/UTC]","0.0","6.99"
"Login to SwagLabs dashboard","Login with invalid credentials to <type> user","SUCCESS","2022-12-29T21:09:55.218666444Z[Etc/UTC]","0.0","6.99"
"Login to SwagLabs dashboard","Login with invalid credentials to <type> user","SUCCESS","2022-12-29T21:09:55.218666444Z[Etc/UTC]","0.0","6.99"
"Login to SwagLabs dashboard","Login with invalid credentials to <type> user","SUCCESS","2022-12-29T21:09:55.218666444Z[Etc/UTC]","0.0","6.99"
"Login to SwagLabs dashboard","Login with invalid credentials to <type> user","SUCCESS","2022-12-29T21:09:55.218666444Z[Etc/UTC]","0.0","6.99"
