"Story","Title","Result","Date","Stability","Duration (s)"
"Add article to cart","Add article to cart","SUCCESS","2022-12-29T21:09:15.963965459Z[Etc/UTC]","0.0","9.58"
"Confirm purchase of items added to cart","Confirm the purchase of items added to the cart by adding correct shipping information","SUCCESS","2022-12-29T21:09:25.612201966Z[Etc/UTC]","0.0","4.2"
"Confirm purchase of items added to cart","Try to confirm the purchase without entering the <type_field> in the shipping information","SUCCESS","2022-12-29T21:09:29.821339817Z[Etc/UTC]","0.0","15.2"
"Confirm purchase of items added to cart","Try to confirm the purchase without entering the <type_field> in the shipping information","SUCCESS","2022-12-29T21:09:29.821339817Z[Etc/UTC]","0.0","15.2"
"Confirm purchase of items added to cart","Try to confirm the purchase without entering the <type_field> in the shipping information","SUCCESS","2022-12-29T21:09:29.821339817Z[Etc/UTC]","0.0","15.2"
"Confirm purchase of items added to cart","Try to confirm the purchase without entering the <type_field> in the shipping information","SUCCESS","2022-12-29T21:09:29.821339817Z[Etc/UTC]","0.0","15.2"
