"Story","Title","Result","Date","Stability","Duration (s)"
"Add article to cart","Add article to cart","SUCCESS","2022-12-29T21:09:29.095750804Z[Etc/UTC]","0.0","10.59"
"Confirm purchase of items added to cart","Confirm the purchase of items added to the cart by adding correct shipping information","SUCCESS","2022-12-29T21:09:39.721889401Z[Etc/UTC]","0.0","4.22"
"Confirm purchase of items added to cart","Try to confirm the purchase without entering the <type_field> in the shipping information","SUCCESS","2022-12-29T21:09:43.965231446Z[Etc/UTC]","0.0","16.04"
"Login to SwagLabs dashboard","Login with valid credentials to <type> user","SUCCESS","2022-12-29T21:10:00.013995844Z[Etc/UTC]","0.0","10.54"
"Login to SwagLabs dashboard","Login with invalid credentials to <type> user","SUCCESS","2022-12-29T21:10:10.570840051Z[Etc/UTC]","0.0","8.11"
