"Story","Title","Result","Date","Stability","Duration (s)"
"Confirm purchase of items added to cart","Confirm the purchase of items added to the cart by adding correct shipping information","SUCCESS","2022-12-29T21:09:39.721889401Z[Etc/UTC]","0.0","4.22"
"Confirm purchase of items added to cart","Try to confirm the purchase without entering the <type_field> in the shipping information","SUCCESS","2022-12-29T21:09:43.965231446Z[Etc/UTC]","0.0","16.04"
