"Story","Title","Result","Date","Stability","Duration (s)"
"Add article to cart","Add article to cart","SUCCESS","2022-12-29T17:44:03.427714457Z[Etc/UTC]","0.0","9.13"
"Confirm purchase of items added to cart","Confirm the purchase of items added to the cart by adding correct shipping information","SUCCESS","2022-12-29T17:44:12.611999884Z[Etc/UTC]","0.0","4.24"
"Confirm purchase of items added to cart","Try to confirm the purchase without entering the <type_field> in the shipping information","SUCCESS","2022-12-29T17:44:16.867603641Z[Etc/UTC]","0.0","15.64"
"Login to SwagLabs dashboard","Login with valid credentials to <type> user","SUCCESS","2022-12-29T17:44:32.516698496Z[Etc/UTC]","0.0","10.21"
"Login to SwagLabs dashboard","Login with invalid credentials to <type> user","SUCCESS","2022-12-29T17:44:42.73921373Z[Etc/UTC]","0.0","7.91"
