"Story","Title","Result","Date","Stability","Duration (s)"
"Confirm purchase of items added to cart","Confirm the purchase of items added to the cart by adding correct shipping information","SUCCESS","2022-12-29T21:53:22.650640596Z[Etc/UTC]","0.0","4.25"
"Confirm purchase of items added to cart","Try to confirm the purchase without entering the <type_field> in the shipping information","SUCCESS","2022-12-29T21:53:26.928759556Z[Etc/UTC]","0.0","14.86"
"Confirm purchase of items added to cart","Try to confirm the purchase without entering the <type_field> in the shipping information","SUCCESS","2022-12-29T21:53:26.928759556Z[Etc/UTC]","0.0","14.86"
"Confirm purchase of items added to cart","Try to confirm the purchase without entering the <type_field> in the shipping information","SUCCESS","2022-12-29T21:53:26.928759556Z[Etc/UTC]","0.0","14.86"
"Confirm purchase of items added to cart","Try to confirm the purchase without entering the <type_field> in the shipping information","SUCCESS","2022-12-29T21:53:26.928759556Z[Etc/UTC]","0.0","14.86"
