"Story","Title","Result","Date","Stability","Duration (s)"
"Login to SwagLabs dashboard","Login with valid credentials to <type> user","SUCCESS","2022-12-29T21:10:00.013995844Z[Etc/UTC]","0.0","10.54"
"Login to SwagLabs dashboard","Login with valid credentials to <type> user","SUCCESS","2022-12-29T21:10:00.013995844Z[Etc/UTC]","0.0","10.54"
"Login to SwagLabs dashboard","Login with valid credentials to <type> user","SUCCESS","2022-12-29T21:10:00.013995844Z[Etc/UTC]","0.0","10.54"
"Login to SwagLabs dashboard","Login with invalid credentials to <type> user","SUCCESS","2022-12-29T21:10:10.570840051Z[Etc/UTC]","0.0","8.11"
"Login to SwagLabs dashboard","Login with invalid credentials to <type> user","SUCCESS","2022-12-29T21:10:10.570840051Z[Etc/UTC]","0.0","8.11"
"Login to SwagLabs dashboard","Login with invalid credentials to <type> user","SUCCESS","2022-12-29T21:10:10.570840051Z[Etc/UTC]","0.0","8.11"
"Login to SwagLabs dashboard","Login with invalid credentials to <type> user","SUCCESS","2022-12-29T21:10:10.570840051Z[Etc/UTC]","0.0","8.11"
"Login to SwagLabs dashboard","Login with invalid credentials to <type> user","SUCCESS","2022-12-29T21:10:10.570840051Z[Etc/UTC]","0.0","8.11"
